Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,G/PG,A,A/PG,PTS,P/PG,P/82,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,PS,,Draft Year,PointShares,GPG,APG,PPG,PlusMinusPG,WeightedScore,Overall▲
5.0,Ottawa Senators,Jake Sanderson,US,D,18.0,2026.0,USA U-18 Development Team (USDP/USHL),262.0,31.0,0.118320610687023,117.0,0.446564885496183,148.0,0.564885496183206,46.3206106870229,-10.0,49.0,,,,,,,23.0,sandeja01,2020,0,0.1183206106870229,0.44656488549618323,0.5648854961832062,-0.03816793893129771,0.13740458015267176,
6.0,Anaheim Ducks,Jamie Drysdale,CA,D,18.0,2026.0,Erie Otters (OHL),242.0,19.0,0.0785123966942149,61.0,0.252066115702479,80.0,0.330578512396694,27.1074380165289,-96.0,70.0,,,,,,,8.1,drysdja01,2020,0,0.07851239669421488,0.25206611570247933,0.3305785123966942,-0.39669421487603307,0.04297520661157025,
16.0,Montreal Canadiens,Kaiden Guhle,CA,D,18.0,2026.0,Prince Albert Raiders (WHL),174.0,17.0,0.0977011494252874,43.0,0.247126436781609,60.0,0.344827586206897,28.2758620689656,-20.0,137.0,,,,,,,9.0,guhleka01,2020,0,0.09770114942528736,0.2471264367816092,0.3448275862068966,-0.11494252873563218,0.07471264367816093,
19.0,New York Rangers,Braden Schneider,CA,D,18.0,2026.0,Brandon Wheat Kings (WHL),314.0,19.0,0.0605095541401274,55.0,0.17515923566879,74.0,0.235668789808917,19.3248407643312,20.0,67.0,,,,,,,15.2,schnebr01,2020,0,0.06050955414012739,0.1751592356687898,0.2356687898089172,0.06369426751592357,0.06528662420382166,
20.0,New Jersey Devils,Shakir Mukhamadullin,RU,D,18.0,2026.0,Salavat Yulaev Ufa (Russia),47.0,3.0,0.0638297872340426,12.0,0.25531914893617,15.0,0.319148936170213,26.1702127659575,-4.0,18.0,,,,,,,2.4,mukhash01,2020,0,0.06382978723404255,0.2553191489361702,0.3191489361702128,-0.0851063829787234,0.07127659574468086,
25.0,Colorado Avalanche,Justin Barron,CA,D,18.0,2026.0,Halifax Mooseheads (QMJHL),175.0,18.0,0.102857142857143,29.0,0.165714285714286,47.0,0.268571428571429,22.0228571428572,-27.0,65.0,,,,,,,7.4,barroju01,2020,0,0.10285714285714286,0.1657142857142857,0.26857142857142857,-0.15428571428571428,0.05171428571428571,
32.0,Detroit Red Wings,William Wallinder,SE,D,18.0,,MODO Hockey Jr. (Sweden Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,walliwi01,2020,0,0.0,0.0,0.0,0.0,,
35.0,Los Angeles Kings,Helge Grans,SE,D,18.0,2025.0,Malmo Jr. (Sweden Jr.),6.0,0.0,0.0,1.0,0.166666666666667,1.0,0.166666666666667,13.6666666666667,0.0,2.0,,,,,,,0.2,granshe01,2020,0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.012499999999999999,
39.0,Minnesota Wild,Ryan O'Rourke,CA,D,18.0,,Soo Greyhounds (OHL),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,orourry01,2020,0,0.0,0.0,0.0,0.0,,
44.0,Ottawa Senators,Tyler Kleven,US,D,18.0,2026.0,USA U-18 Development Team (USDP/USHL),120.0,4.0,0.0333333333333333,13.0,0.108333333333333,17.0,0.141666666666667,11.6166666666667,-20.0,40.0,,,,,,,2.5,klevety01,2020,0,0.03333333333333333,0.10833333333333334,0.14166666666666666,-0.16666666666666666,0.01875,
