Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,G/PG,A,A/PG,PTS,P/PG,P/82,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,PS,,Draft Year,PointShares,GPG,APG,PPG,PlusMinusPG,WeightedScore,Overall▲
1.0,New York Rangers,Alexis Lafreniere,CA,LW,18.0,2026.0,Rimouski Oceanic (QMJHL),408.0,98.0,0.240196078431373,109.0,0.267156862745098,207.0,0.507352941176471,41.6029411764706,-11.0,162.0,,,,,,,19.0,lafreal01,2020,0,0.24019607843137256,0.26715686274509803,0.5073529411764706,-0.02696078431372549,0.16354166666666667,
2.0,Los Angeles Kings,Quinton Byfield,CA,C,18.0,2026.0,Sudbury Wolves (OHL),286.0,55.0,0.192307692307692,106.0,0.370629370629371,161.0,0.562937062937063,46.1608391608392,42.0,152.0,,,,,,,15.5,byfiequ01,2020,0,0.19230769230769232,0.3706293706293706,0.5629370629370629,0.14685314685314685,0.1902972027972028,
3.0,Ottawa Senators,Tim Stützle,DE,LW,18.0,2026.0,Adler Mannheim (Germany),393.0,126.0,0.320610687022901,224.0,0.569974554707379,350.0,0.89058524173028,73.027989821883,-60.0,191.0,,,,,,,33.0,stuetti02,2020,0,0.32061068702290074,0.5699745547073791,0.8905852417302799,-0.15267175572519084,0.28180661577608146,
4.0,Detroit Red Wings,Lucas Raymond,SE,LW,18.0,2026.0,Frolunda HC (Sweden),345.0,107.0,0.310144927536232,176.0,0.510144927536232,283.0,0.820289855072464,67.263768115942,-70.0,92.0,,,,,,,26.0,raymolu01,2020,0,0.3101449275362319,0.5101449275362319,0.8202898550724638,-0.2028985507246377,0.2564492753623189,
7.0,New Jersey Devils,Alexander Holtz,SE,RW,18.0,2026.0,Djurgardens IF (Sweden),171.0,23.0,0.134502923976608,23.0,0.134502923976608,46.0,0.269005847953216,22.0584795321637,-31.0,40.0,,,,,,,2.5,holtzal01,2020,0,0.13450292397660818,0.13450292397660818,0.26900584795321636,-0.18128654970760233,0.0783625730994152,
8.0,Buffalo Sabres,Jack Quinn,CA,RW,18.0,2026.0,Ottawa 67's (OHL),204.0,45.0,0.220588235294118,66.0,0.323529411764706,111.0,0.544117647058824,44.6176470588236,-32.0,43.0,,,,,,,9.0,quinnja01,2020,0,0.22058823529411764,0.3235294117647059,0.5441176470588235,-0.1568627450980392,0.1689950980392157,
9.0,Minnesota Wild,Marco Rossi,AT,C,18.0,2026.0,Ottawa 67's (OHL),202.0,49.0,0.242574257425743,65.0,0.321782178217822,114.0,0.564356435643564,46.2772277227722,-15.0,87.0,,,,,,,10.2,rossima01,2020,0,0.24257425742574257,0.3217821782178218,0.5643564356435643,-0.07425742574257425,0.1797029702970297,
10.0,Winnipeg Jets,Cole Perfetti,CA,C,18.0,2026.0,Saginaw Spirit (OHL),233.0,49.0,0.210300429184549,80.0,0.343347639484979,129.0,0.553648068669528,45.3991416309013,31.0,52.0,,,,,,,13.0,perfeco01,2020,0,0.21030042918454936,0.34334763948497854,0.5536480686695279,0.13304721030042918,0.18658798283261804,
12.0,Florida Panthers,Anton Lundell,FI,C,18.0,2026.0,HIFK (Finland),320.0,66.0,0.20625,111.0,0.346875,177.0,0.553125,45.35625,63.0,153.0,,,,,,,17.1,lundean01,2020,0,0.20625,0.346875,0.553125,0.196875,0.18960937500000002,
13.0,Carolina Hurricanes,Seth Jarvis,CA,C,18.0,2026.0,Portland Winterhawks (WHL),329.0,111.0,0.337386018237082,124.0,0.376899696048632,235.0,0.714285714285714,58.5714285714285,59.0,66.0,,,,,,,27.2,jarvise01,2020,0,0.3373860182370821,0.3768996960486322,0.7142857142857143,0.17933130699088146,0.24110942249240122,
