Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,G/PG,A,A/PG,PTS,P/PG,P/82,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,PS,,Draft Year,PointShares,GPG,APG,PPG,PlusMinusPG,WeightedScore,Overall▲
11.0,Nashville Predators,Iaroslav Askarov,RU,G,18.0,2026.0,Neva St. Petersburg (Russia-2),33.0,0.0,0.0,1.0,0.0303030303030303,1.0,0.0303030303030303,2.48484848484848,0.0,0.0,33.0,15.0,13.0,3.0,0.904,2.99,6.6,askarya01,2020,0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.38666265664160404,
46.0,Chicago Blackhawks,Drew Commesso,US,G,18.0,2025.0,USA U-18 Development Team (USDP/USHL),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.846,3.36,0.0,commedr01,2020,0,0.0,0.0,0.0,0.0,0.036133577981651385,
52.0,Pittsburgh Penguins,Joel Blomqvist,FI,G,18.0,2025.0,Karpat Jr. (Finland Jr.),15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,9.0,1.0,0.885,3.81,1.9,blomqjo01,2020,0,0.0,0.0,0.0,0.0,0.28109251559251563,
71.0,Ottawa Senators,Leevi Merilainen,FI,G,18.0,2026.0,Karpat Jr. (Finland Jr.),20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,7.0,2.0,0.905,2.62,3.4,merille01,2020,0,0.0,0.0,0.0,0.0,0.3896243093922652,
77.0,Pittsburgh Penguins,Calle Clang,SE,G,18.0,,Rogle BK Jr. (Sweden Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,clangca01,2020,0,0.0,0.0,0.0,0.0,,
84.0,New Jersey Devils,Nicolas Daws,DE,G,19.0,2026.0,Guelph Storm (OHL),53.0,0.0,0.0,1.0,0.0188679245283019,1.0,0.0188679245283019,1.54716981132076,0.0,0.0,53.0,23.0,23.0,1.0,0.899,2.94,6.9,dawsni01,2020,0,0.0,0.018867924528301886,0.018867924528301886,0.0,0.38498071065989853,
96.0,Calgary Flames,Daniil Chechelev,RU,G,19.0,,Russike Vityazi Checkov (Russia Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,chechda01,2020,0,0.0,0.0,0.0,0.0,,
103.0,New York Rangers,Dylan Garand,CA,G,18.0,,Kamloops Blazers (WHL),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,garandy01,2020,0,0.0,0.0,0.0,0.0,,
106.0,Toronto Maple Leafs,Artur Akhtyamov,RU,G,18.0,,Irbis Kazan (Russia Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,akhtyar01,2020,0,0.0,0.0,0.0,0.0,,
107.0,Detroit Red Wings,Jan Bednar,CZ,G,18.0,,HC Banik Sokolov (Czech-2),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,bednaja02,2020,0,0.0,0.0,0.0,0.0,,
112.0,Los Angeles Kings,Juho Markkanen,CA,G,18.0,,SaiPa Jr. (Finland Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,markkju02,2020,0,0.0,0.0,0.0,0.0,,
125.0,Vegas Golden Knights,Jesper Vikman,SE,G,18.0,,AIK Jr. (Sweden Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,vikmaje01,2020,0,0.0,0.0,0.0,0.0,,
136.0,Montreal Canadiens,Jakub Dobes,CZ,G,19.0,2026.0,Omaha Lancers (USHL),29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,15.0,7.0,5.0,0.899,2.96,5.0,dobesja01,2020,0,0.0,0.0,0.0,0.0,0.3848525252525253,
163.0,St. Louis Blues,Will Cranley,CA,G,18.0,,Ottawa 67's (OHL),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,cranlwi01,2020,0,0.0,0.0,0.0,0.0,,
179.0,Washington Capitals,Garin Bjorklund,CA,G,18.0,,Medicine Hat Tigers (WHL),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,bjorkga01,2020,0,0.0,0.0,0.0,0.0,,
185.0,Dallas Stars,Remi Poirier,CA,G,18.0,,Gatineau Olympiques (QMJHL),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,poirire01,2020,0,0.0,0.0,0.0,0.0,,
186.0,Tampa Bay Lightning,Amir Miftakhov,RU,G,20.0,,Bars Kazan (Russia-2),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,miftaam01,2020,0,0.0,0.0,0.0,0.0,,
197.0,New York Rangers,Hugo Ollas,SE,G,18.0,,Linkoping HC Jr. (Sweden Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,ollashu01,2020,0,0.0,0.0,0.0,0.0,,
212.0,Florida Panthers,Devon Levi,CA,G,18.0,2025.0,Carleton Place (CCHL),39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,17.0,17.0,2.0,0.894,3.29,5.7,levide01,2020,0,0.0,0.0,0.0,0.0,0.3809100233100233,
214.0,New York Islanders,Henrik Tikkanen,FI,G,19.0,,HIFK Jr. (Finland Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,tikkahe01,2020,0,0.0,0.0,0.0,0.0,,
13.0,Florida Panthers,Spencer Knight,US,G,18.0,2026.0,USA U-18 Development Team (USDP/USHL),113.0,0.0,0.0,4.0,0.0353982300884956,4.0,0.0353982300884956,,0.0,0.0,113.0,57.0,38.0,14.0,0.906,2.78,20.0,knighsp01,2019,0,0.0,0.035398230088495575,0.035398230088495575,0.0,0.3888550264550265,
36.0,Carolina Hurricanes,Pyotr Kochetkov,RU,G,20.0,2026.0,HK Ryazan (Russia-2),121.0,0.0,0.0,3.0,0.0247933884297521,3.0,0.0247933884297521,,0.0,16.0,121.0,69.0,36.0,12.0,0.905,2.44,18.6,kochepy01,2019,0,0.0,0.024793388429752067,0.024793388429752067,0.0,0.3910697674418605,
37.0,Ottawa Senators,Mads Sogaard,DK,G,18.0,2025.0,Medicine Hat Tigers (WHL),29.0,0.0,0.0,1.0,0.0344827586206897,1.0,0.0344827586206897,,0.0,2.0,29.0,11.0,11.0,3.0,0.879,3.55,2.4,sogaama01,2019,0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.373578021978022,
59.0,Minnesota Wild,Hunter Jones,CA,G,18.0,,Peterborough Petes (OHL),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,joneshu01,2019,0,0.0,0.0,0.0,0.0,,
67.0,Buffalo Sabres,Erik Portillo,SE,G,19.0,2025.0,Frolunda HC Jr. (Sweden Jr.),1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.966,1.02,0.4,portier01,2019,0,0.0,0.0,0.0,0.0,0.021795247524752478,
71.0,Tampa Bay Lightning,Hugo Alnefelt,SE,G,18.0,2022.0,HV71 Jr. (Sweden Jr.),1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.7,9.0,-0.2,alnefhu01,2019,0,0.0,0.0,0.0,0.0,0.014499999999999999,
85.0,Edmonton Oilers,Ilya Konovalov,RU,G,21.0,,Lokomotiv Yaroslavl (Russia),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,konovil01,2019,0,0.0,0.0,0.0,0.0,,
87.0,Los Angeles Kings,Lukas Parik,CZ,G,18.0,,Bili Tygri Liberec Jr. (Czech Jr.),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,pariklu01,2019,0,0.0,0.0,0.0,0.0,,
93.0,St. Louis Blues,Colten Ellis,CA,G,18.0,2026.0,Rimouski Oceanic (QMJHL),6.0,0.0,0.0,1.0,0.166666666666667,1.0,0.166666666666667,,0.0,0.0,6.0,4.0,2.0,0.0,0.898,3.13,1.2,ellisco01,2019,0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.1150239225181598,
127.0,New Jersey Devils,Cole Brady,CA,G,18.0,,Janesville Jets (NAHL),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,bradyco01,2019,0,0.0,0.0,0.0,0.0,,
135.0,Vegas Golden Knights,Isaiah Saville,US,G,18.0,,Tri-City Storm (USHL),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,savilis01,2019,0,0.0,0.0,0.0,0.0,,
138.0,Montreal Canadiens,Frederik Nissen Dichow,DK,G,18.0,,Vojens IK (Denmark-2),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,nissefr01,2019,0,0.0,0.0,0.0,0.0,,
144.0,Winnipeg Jets,Logan Neaton,US,G,20.0,,Prince George (BCHL),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,neatolo01,2019,0,0.0,0.0,0.0,0.0,,
148.0,Nashville Predators,Ethan Haider,US,G,18.0,,Minnesota Magicians (NAHL),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,haideet01,2019,0,0.0,0.0,0.0,0.0,,
156.0,Vancouver Canucks,Arturs Silovs,LV,G,18.0,2026.0,HS Riga (Latvia),31.0,0.0,0.0,1.0,0.032258064516129,1.0,0.032258064516129,,0.0,2.0,31.0,12.0,12.0,6.0,0.887,3.08,3.8,silovar01,2019,0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.37930980392156866,
167.0,Chicago Blackhawks,Dominic Basse,US,G,18.0,,Selects Academy 18U AAA (18U AAA),,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,bassedo01,2019,0,0.0,0.0,0.0,0.0,,
